Direction,District,Floor,Garden,Id,Layout,Price,Region,Renovation,Size,Type,Year
东,龙头寺,33,梧桐公馆,106101519417,1室1厅,70,渝北,简装,56.0,塔楼,2016
南,空港新城,5,聚义香城故事,106101538579,3室2厅,155,渝北,毛坯,103.0,塔楼,2015
北,照母山,32,世茂茂悦府一二期高层,106101591968,3室1厅,205,渝北,毛坯,114.0,塔楼,2016
南,鸳鸯,4,龙湖弗莱明戈,106102181789,4室3厅,350,渝北,精装,215.0,板楼,2014
东南,弹子石,33,国际社区观园一期,106103553694,4室1厅,172,南岸,毛坯,126.0,塔楼,2010
南,南坪,32,亚太商谷,106103556789,3室1厅,148,南岸,精装,84.0,塔楼,2011
东,茶园新区,8,中铁北美时光,106103560801,3室2厅,185,南岸,毛坯,133.0,板楼,2015
东北,七公里,33,保利观塘,106103565097,3室2厅,126,南岸,毛坯,89.0,塔楼,2018
南,茶园新区,6,同景国际城B区,106103580038,5室2厅,210,南岸,精装,160.0,板楼,2016
东南,南滨路,32,长嘉汇一期,106103582116,4室1厅,290,南岸,毛坯,166.0,塔楼,2013
西南,八公里,33,蓝光林肯公园,106103583344,3室2厅,138,南岸,毛坯,111.0,塔楼,2018
东,南坪,17,桃园新居,106103587987,3室2厅,82,南岸,精装,66.0,塔楼,2000
南,六公里,9,山千院西苑,106103596934,4室2厅,270,南岸,毛坯,178.0,板楼,2012
东北,融侨半岛,33,金辉御江府,106103598736,3室2厅,200,南岸,毛坯,133.0,塔楼,2018
西北,融侨半岛,36,融侨半岛香弥山2号,106103649001,3室1厅,95,南岸,精装,71.0,塔楼,2009
南,南滨路,28,武夷滨江,106103650076,2室2厅,185,南岸,精装,100.0,板塔结合,2014
南,南滨路,32,阳光100国际新城,106103666536,3室2厅,133,南岸,毛坯,105.0,塔楼,2009
东,南坪,32,云天锦绣前程,106103672756,3室2厅,138,南岸,毛坯,116.0,塔楼,2010
北,融侨半岛,33,金辉御江府,106103681061,4室2厅,203,南岸,毛坯,142.0,板塔结合,2018
南,融侨半岛,41,双子星座,106103682342,3室2厅,112,南岸,精装,84.0,塔楼,2008
东南,茶园新区,6,同景国际城馥山,106103683948,3室2厅,139,南岸,毛坯,109.0,板楼,2013
西北,融侨半岛,33,融侨城花漫庭,106103691010,4室1厅,225,南岸,毛坯,146.0,板塔结合,2013
南,弹子石,28,阅江阁,106103698559,3室2厅,190,南岸,毛坯,97.0,板塔结合,2016
南,南坪,30,康德国会山,106103700462,3室2厅,130,南岸,精装,74.0,塔楼,2008
东,六公里,33,山千院东苑,106103706534,3室2厅,105,南岸,毛坯,84.0,塔楼,2012
北,融侨半岛,39,金辉城春上南滨,106103725426,4室2厅,235,南岸,精装,139.0,板塔结合,2015
西南,南滨路,32,阳光100国际新城,106103732633,2室1厅,180,南岸,简装,110.0,塔楼,2009
南,丹龙路,32,骏逸第一江岸,106103742988,4室1厅,265,南岸,精装,163.0,板塔结合,2007
东南,弹子石,5,蓝光帕提欧,106103752176,3室2厅,205,南岸,毛坯,126.0,板楼,2016
西,龙洲湾,32,浩立碧海湾,106105213152,4室2厅,140,巴南,其他,128.0,塔楼,2012
南,融汇半岛,6,融汇半岛一期A区,106105222423,3室1厅,105,巴南,毛坯,112.0,板楼,2006
东南,融汇半岛,33,融汇半岛江上公馆,106105230230,3室1厅,146,巴南,其他,125.0,塔楼,2017
南,鱼洞,9,下河路,106105250330,3室2厅,50,巴南,其他,65.0,板楼,1999
东南南,龙洲湾,19,旭辉城,106105303336,2室1厅,44,巴南,其他,30.0,塔楼,2016
南,李家沱,18,协信天骄溪悦,106105307642,3室2厅,120,巴南,其他,97.0,板塔结合,2017
东,李家沱,22,宗申动力城二期,106105309002,2室2厅,68,巴南,其他,63.0,塔楼,2011
东,龙洲湾,30,巴南万达广场,106105331517,1室0厅,48,巴南,其他,50.0,塔楼,2014
北,融汇半岛,19,恒大御景湾,106101353917,3室2厅,105,巴南,精装,88.0,塔楼,2016
东,李家沱,35,曼哈顿小区,106101885054,2室1厅,66,巴南,简装,61.0,塔楼,2009
东,李家沱,30,珠江城长江府,106101924910,2室1厅,68,巴南,毛坯,68.0,塔楼,2017
东南,融汇半岛,18,融汇江山D区,106102132313,3室2厅,108,巴南,精装,102.0,塔楼,2012
东,融汇半岛,11,融汇半岛格林美地B区,106102330422,2室2厅,87,巴南,精装,75.0,塔楼,2014
西南,融汇半岛,26,融汇半岛香缇漫山,106102383036,1室2厅,82,巴南,精装,79.0,板塔结合,2012
南东北,融汇半岛,26,融汇半岛香缇漫山,106102445801,2室2厅,92,巴南,精装,82.0,板塔结合,2012
南,龙洲湾,31,典雅龙海港湾,106102465057,2室2厅,85,巴南,精装,74.0,塔楼,2012
东南,龙洲湾,32,万达华城一期,106102587792,2室1厅,115,巴南,精装,82.0,塔楼,2015
西南,融汇半岛,18,融汇江山E区,106102597628,2室2厅,100,巴南,毛坯,86.0,塔楼,2012
东南,融汇半岛,11,融汇半岛格林美地B区,106102665205,2室2厅,78,巴南,精装,58.0,塔楼,2014
东南,龙洲湾,28,中交锦悦,106102907299,3室1厅,120,巴南,精装,87.0,塔楼,2017
南,李家沱,11,恒大城二期,106102957774,2室1厅,115,巴南,精装,72.0,塔楼,2010
南,融汇半岛,23,融汇半岛水晶公馆,106102976933,2室2厅,96,巴南,毛坯,83.0,塔楼,2018
东南,鱼洞,34,帝豪富达城,106102802055,3室1厅,70,巴南,毛坯,81.0,板楼,2014
东南,李家沱,30,聚福里,106102822892,2室1厅,75,巴南,精装,68.0,塔楼,2013
南,李家沱,7,融科金色时代,106102885147,4室2厅,155,巴南,毛坯,120.0,板楼,2017
北,龙洲湾,11,康利尔风花树,106102888807,3室2厅,140,巴南,精装,128.0,板塔结合,2012
北,龙洲湾,24,一城龙洲,106103032069,3室2厅,83,巴南,精装,95.0,板楼,2007
东南,大学城,30,盛豪首港城,106104863509,2室2厅,78,沙坪坝,精装,78.0,塔楼,2015
东南,大学城,32,富力城春天里B区,106104881604,1室1厅,68.9,沙坪坝,简装,67.0,板塔结合,2010
东南,大学城,30,金科廊桥水乡E区,106104889798,2室1厅,79.9,沙坪坝,其他,74.0,塔楼,2011
北,石桥铺,34,大城小爱,106104893283,1室1厅,71,沙坪坝,精装,50.0,塔楼,2010
东南,杨公桥,32,龙凤云洲,106104898641,3室2厅,137,沙坪坝,其他,92.0,塔楼,2006
南北,沙正街,8,一心村,106104899771,2室1厅,95,沙坪坝,其他,71.0,板楼,1999
南北,小龙坎,26,诺丁阳光,106104918996,2室1厅,92,沙坪坝,精装,56.0,塔楼,2009
东南,梨树湾,33,融汇温泉城童话里,106104928366,2室2厅,122,沙坪坝,精装,83.0,塔楼,2015
南,天星桥,28,蓝溪谷地,106104942235,2室2厅,95,沙坪坝,其他,74.0,塔楼,2006
西南,大学城,27,富力城幸福里C区,106104948498,2室1厅,80,沙坪坝,其他,81.0,塔楼,2009
南北,天星桥,9,联芳花园1期,106104955024,3室2厅,135,沙坪坝,其他,156.0,板塔结合,2009
东,石桥铺,11,南方新城西苑,106104963667,1室1厅,72,沙坪坝,其他,55.0,塔楼,2007
东南,小龙坎,32,东原ARC中央广场,106104964780,2室1厅,129,沙坪坝,其他,71.0,塔楼,2013
东,凤天路,8,欣光花苑,106104979751,3室2厅,113,沙坪坝,其他,116.0,板楼,2003
东南,杨公桥,32,华宇林泉雅舍,106104988591,3室2厅,185,沙坪坝,其他,134.0,塔楼,2006
西南,大学城,31,羲城蓝湾,106104997923,2室2厅,70,沙坪坝,精装,71.0,板塔结合,2012
南,大学城,18,金科廊桥水乡C区,106105005359,2室1厅,83,沙坪坝,其他,68.0,塔楼,2012
南,沙滨路,33,华宇金沙时代南苑,106105015005,3室2厅,182,沙坪坝,其他,121.0,塔楼,2012
南,大学城,26,贝蒙天地,106105015620,2室2厅,85,沙坪坝,其他,75.0,塔楼,2014
西,烈士墓,31,金悦城,106105031298,3室2厅,135,沙坪坝,其他,95.0,塔楼,2010
东北,大学城,28,新港左岸陈桥,106105036718,2室2厅,82,沙坪坝,其他,79.0,塔楼,2013
东,杨公桥,25,光华阳光水城三期,106105042215,3室1厅,135,沙坪坝,其他,87.0,塔楼,2008
东南,杨公桥,8,金鹏小区,106105042263,3室2厅,60,沙坪坝,简装,81.0,板楼,2005
西南,大学城,27,金科廊桥水乡四组团,106105049214,2室1厅,90,沙坪坝,简装,74.0,板楼,2016
南,动物园,33,西城映画,106104058088,2室2厅,90,九龙坡,简装,71.0,塔楼,2007
南,石桥铺,20,珠江华轩,106104071604,2室2厅,107,九龙坡,简装,88.0,塔楼,2006
东,黄桷坪,30,蟠龙龙蟠凤逸,106104074455,2室2厅,85,九龙坡,毛坯,81.0,塔楼,2013
南,黄桷坪,25,广厦城蜜宫,106104106393,2室1厅,95,九龙坡,毛坯,72.0,塔楼,2015
东南,双山,33,云飞九龙香山,106104110543,3室2厅,93,九龙坡,毛坯,83.0,塔楼,2018
东,石桥铺,34,我平方小区,106104171298,2室2厅,92,九龙坡,精装,83.0,塔楼,2007
南,石桥铺,35,兰花丽景,106104220156,3室2厅,125,九龙坡,精装,77.0,塔楼,2015
东南,石桥铺,16,国窖明城,106104254182,3室1厅,125,九龙坡,简装,121.0,塔楼,2006
东南,华岩,11,华宇锦绣花城,106104262461,3室2厅,99,九龙坡,毛坯,89.0,板楼,2017
南,石桥铺,18,珠江华轩,106104266779,3室2厅,160,九龙坡,简装,138.0,塔楼,2006
北,巴国城,32,保利可爱岛,106104280503,2室1厅,93,九龙坡,简装,72.0,塔楼,2012
东,二郎,33,巴国锦苑,106104376983,1室1厅,57,九龙坡,简装,49.0,塔楼,2008
北,蟠龙,33,万科西城一期,106104379528,3室2厅,135,九龙坡,精装,95.0,塔楼,2016
南,石坪桥,15,青年根据地（九龙坡）,106104383884,1室1厅,46.8,九龙坡,精装,48.0,塔楼,2005
南,石坪桥,15,青年根据地（九龙坡）,106104383894,1室1厅,46.8,九龙坡,其他,48.0,塔楼,2005
东南东北,蟠龙,33,万科西城二期,106104403745,2室1厅,125,九龙坡,毛坯,74.0,塔楼,2016
东南,毛线沟,29,安信家园一期,106104411398,3室1厅,116,九龙坡,精装,113.0,塔楼,2006
北,石桥铺,34,蜜城,106104419472,2室1厅,111,九龙坡,简装,82.0,塔楼,2013
东南,黄桷坪,18,广厦城蜜宫,106104421128,3室1厅,115,九龙坡,毛坯,87.0,塔楼,2015
南,石桥铺,17,建工新康桥,106104421368,2室1厅,88,九龙坡,简装,63.0,塔楼,2004
东南,石坪桥,33,绿洲华府,106104454199,3室1厅,118,九龙坡,精装,84.0,塔楼,2010
东,石坪桥,32,绿洲华府,106104480061,3室1厅,132,九龙坡,简装,107.0,塔楼,2010
东南,大坪,16,渝中花园,106103385615,2室1厅,62,渝中,精装,70.0,板楼,2001
东南,大坪,15,嘉瑞E动力时代广场,106103396731,2室2厅,85,渝中,精装,84.0,塔楼,2001
南,化龙桥,32,长帆江岸公馆,106103421927,2室1厅,110,渝中,简装,75.0,塔楼,2010
南,解放碑,22,中驰半岛,106103464296,2室2厅,140,渝中,精装,101.0,塔楼,2012
东南,大坪,8,长江支路,106103480743,2室1厅,72,渝中,简装,70.0,暂无数据,1999
南,大坪,24,万科锦尚,106103487324,2室1厅,123,渝中,精装,67.0,塔楼,2016
东南,解放碑,32,巴渝世家,106103490366,4室2厅,170,渝中,简装,142.0,塔楼,2002
西南,化龙桥,33,雍江艺庭,106103491099,1室1厅,125,渝中,精装,63.0,塔楼,2010
南北,两路口,13,广璐大厦,106103494603,2室1厅,83,渝中,简装,87.0,板塔结合,1999
南,解放碑,30,合景聚融,106103508190,3室2厅,280,渝中,毛坯,125.0,塔楼,2004
东,解放碑,15,领事巷,106103518996,3室1厅,76,渝中,简装,80.0,板楼,1997
北,化龙桥,31,瑞安翠湖天地,106103525751,2室2厅,169,渝中,精装,86.0,塔楼,2017
东南,大坪,14,渝中花园,106103530250,2室2厅,61,渝中,简装,81.0,板塔结合,2001
南,大坪,35,兰波红城丽景,106103551374,1室1厅,68,渝中,简装,53.0,塔楼,2007
东,上清寺,28,天江苑,106103592218,3室1厅,175,渝中,精装,144.0,板塔结合,2000
西北,两路口,15,名仕城,106103593612,1室1厅,78,渝中,精装,54.0,塔楼,2007
南,大坪,15,竹园小区(渝中),106103620625,2室1厅,65,渝中,简装,78.0,塔楼,2006
南,朝天门,55,海客瀛洲,106103637661,3室2厅,220,渝中,简装,148.0,塔楼,2006
东北,上清寺,28,聚金大厦,106103642642,4室2厅,330,渝中,精装,183.0,板塔结合,2002
东南,大坪,34,东方巴塞,106103655104,2室1厅,65,渝中,简装,42.0,塔楼,2010
南,大坪,34,万科锦程,106103665883,2室1厅,135,渝中,精装,72.0,塔楼,2012
西南,上清寺,12,人民支路,106103679525,3室1厅,80,渝中,简装,87.0,板楼,2000
西南,朝天门,55,海客瀛洲,106103705693,3室2厅,220,渝中,精装,145.0,塔楼,2006
南,大坪,31,协信阿卡迪亚,106103707211,2室1厅,110,渝中,精装,67.0,塔楼,2012
东南,大坪,32,恒康丽景,106103708478,2室1厅,70,渝中,精装,45.0,塔楼,2010
西南,大坪,9,竟地花园,106103713365,2室2厅,82,渝中,简装,79.0,塔楼,1996
南,步行街,20,春晖花园,106102885686,2室2厅,100,大渡口,精装,88.0,塔楼,2005
西南,双山,31,华仁万有广场,106102919608,3室2厅,89,大渡口,毛坯,94.0,塔楼,2015
东南,九宫庙,6,蓝谷小镇,106102995604,3室2厅,135,大渡口,精装,100.0,板楼,2011
东南,九宫庙,18,松青大道60号,106103061496,2室2厅,92,大渡口,精装,88.0,塔楼,2009
西南,马王乡,32,蓝光御江台,106103093033,3室2厅,105,大渡口,毛坯,87.0,塔楼,2016
南,步行街,20,春晖花园,106103132004,2室1厅,96,大渡口,精装,87.0,塔楼,2005
南,九宫庙,28,龙桥花苑,106103345450,2室2厅,50,大渡口,毛坯,70.0,塔楼,2016
南,双山,18,盛世龙都B区,106103385002,2室2厅,62,大渡口,精装,48.0,塔楼,2014
南,步行街,27,国瑞城3期,106103416373,2室2厅,110,大渡口,精装,81.0,塔楼,2013
南,步行街,27,国瑞城3期,106103484072,2室1厅,128,大渡口,精装,88.0,塔楼,2013
南,九宫庙,34,融创春晖十里,106103497289,3室2厅,90,大渡口,毛坯,78.0,塔楼,2018
东,大渡口区府,30,顺祥壹街区B区,106103523631,2室1厅,69,大渡口,精装,49.0,塔楼,2011
东,九宫庙,33,佳兆业·滨江新城·墨香庭,106103556348,2室2厅,76,大渡口,精装,64.0,塔楼,2016
北,双山,34,中豪公园尚城,106103559106,2室2厅,103,大渡口,精装,80.0,塔楼,2014
东南,双山,14,雅居乐御宾府,106103651574,2室1厅,35,大渡口,简装,34.0,塔楼,2018
东南,马王乡,8,大堰二村,106103681942,2室1厅,43,大渡口,简装,54.0,板楼,1995
南,双山,30,雅居乐御宾府,106103711657,1室1厅,78,大渡口,精装,77.0,塔楼,2014
东,九宫庙,19,融创春晖十里,106103713077,2室1厅,45,大渡口,精装,37.0,板楼,2017
南北,九宫庙,19,九汇元尚元,106103717513,2室1厅,50,大渡口,精装,35.0,塔楼,2015
南,九宫庙,19,九汇元尚元,106103730774,2室2厅,58,大渡口,精装,37.0,塔楼,2015
东南,建设村,30,美德家园,106103753797,3室2厅,125,大渡口,精装,97.0,塔楼,2014
南北,步行街,28,天泰金地广场,106103793534,1室1厅,59,大渡口,精装,49.0,塔楼,2005
东南,马王乡,21,双山路58号,106103811753,2室1厅,98,大渡口,精装,95.0,塔楼,2005
东,九宫庙,19,九汇元尚元,106103855408,1室1厅,55,大渡口,精装,37.0,塔楼,2017
南,马王乡,21,双山路58号,106104178852,2室2厅,95,大渡口,精装,89.0,塔楼,2006
东,九宫庙,19,九汇元尚元,106104490546,3室2厅,50,大渡口,精装,60.0,塔楼,2015
南,蟠龙,32,隆鑫西城汇,106105028425,2室2厅,95,江津,精装,76.0,塔楼,2014
东,弹子石,28,蓝光COCO时代三期,106105033328,3室1厅,75,江津,毛坯,51.0,塔楼,2015
西,南桥寺,29,金易E世界,106105037448,2室1厅,116,江津,精装,77.0,塔楼,2017
东南,七公里,34,万科金域学府,106105043124,2室1厅,90,江津,精装,57.0,塔楼,2018
西南,茶园新区,22,鲁能领秀城骏峰,106105045400,3室2厅,130,江津,毛坯,94.0,板塔结合,2016
南,蟠龙,33,万科西城二期,106105046195,2室2厅,84,江津,精装,51.0,塔楼,2017
北,南滨路,13,和记黄埔珊瑚水岸二期,106105055251,2室1厅,171,江津,毛坯,88.0,板塔结合,2013
西南,谢家湾,32,大鼎城市广场A区,106105072515,2室1厅,89,江津,简装,56.0,塔楼,2010
南,西永,34,龙湖好城时光,106105078332,2室1厅,89,江津,精装,57.0,塔楼,2014
南北,冉家坝,32,春风城市心筑,106105079756,3室2厅,184,江津,精装,124.0,塔楼,2006
南,南桥寺,28,金易E世界,106105089641,2室1厅,85.5,江津,精装,51.0,塔楼,2016
南,松树桥,18,心悦雅居,106105095510,2室1厅,80,江津,精装,59.0,塔楼,2007
南,回兴,25,国际家纺城绣色A区,106105108526,1室1厅,33,江津,精装,28.0,塔楼,2012
南,二郎,29,晋愉V时代,106105109339,2室2厅,112,江津,精装,80.0,塔楼,2017
东南东,弹子石,28,国际社区官邸三组团,106105115292,2室2厅,123,江津,精装,81.0,塔楼,2012
南,花卉园,18,丽景雅苑,106105128429,1室1厅,61,江津,精装,54.0,塔楼,2002
西北,礼嘉,32,华侨城云溪别院,106101927609,3室2厅,145,江津,毛坯,102.0,塔楼,2017
西,嘉州,32,中渝山顶道国宾城,106102058501,3室2厅,248,江津,精装,123.0,板塔结合,2012
南,鱼洞,27,巴南新鸥鹏教育城,106102473170,2室2厅,66,江津,毛坯,72.0,塔楼,2017
